userName,score,at,content
Felix Natanael,1,2025-03-12 07:26:04,"Aplikasi tholol, tipikal buatan pemerintah."
Barkah Akbar,1,2025-03-12 04:29:07,What is this ? suck UI and everything is useless.
Ilham Farabi,1,2025-03-12 03:24:22,live chat error
dk smile,1,2025-03-12 02:33:25,"gk jelas, mau bayar pajak aja ribet gk bisa2, website nya juga tidak jelas, login dipersulit, minta kode verifikasi gk ada yg bisa"
Gilang Prawira Sumantri,1,2025-03-11 10:45:49,"Saya pikir bisa lapor SPT pakai aplikasi ini, ternyata tidak bisa, tetap harus lewat web. Aplikasi ini kurang ada fungsionalnya. Sekelas Dirjen pajak lho. Lebih baik diuninstal, cuma ngabisin anggaran dan memory hape wkwkwk"
Haunted House,1,2025-03-11 07:11:57,Aplikasi sangat buruk Permintaan kode OTP sangat lambat. Sepertinya alokasi dana pengembangan aplikasi pun dikorupsi oleh DJP. Heran...
Ojan,1,2025-03-10 04:19:35,"Kita yg bayar pajak kok kita yg laporan, harusnya dirjen pajak yang laporan ke rakyat buat apa uang pajak ajg"
Timothy,1,2025-03-09 05:58:26,"Aplikasi jelek, bayar pajak aja tiap bulan puluhan juta, aplikasinya kaya buatan sd."
asaf,1,2025-03-09 00:23:52,completely trash.
Andrian Rachmat,1,2025-03-08 12:42:49,"Email tdk dibalas, live chat bug, batas waktu kode verifikasi utk lupa efin 10mnt tpi baru masuk email 30mnt sampai 1 jam kemudian 🗿🗿"
Satria 77,1,2025-03-07 04:04:57,"Sekelas pemerintahan kok aplikasi ky gini, cari konsultan yg mumpuni lah ,,masa cm kaya gini tok, ga guna"
M Fais Amrulloh,1,2025-03-06 07:40:40,aplikasi sampah
Kompalompa waw,1,2025-03-06 04:17:09,"kode verif tidak berlaku setelah 10 menit,tapi codenya g sampe sampe...."
irfan,1,2025-03-06 02:01:48,useless app
Ichsan Swandi,1,2025-03-06 01:19:02,Useless app
munawar rusman,1,2025-03-05 08:41:45,aplikasi kentang
Irfan Dani Syahputra,1,2025-03-05 07:39:32,Lama kali verif email
바요Bayo,1,2025-03-05 06:41:54,APLIKASI GA GUNA
Nuri Selamet,1,2025-03-05 03:48:21,Waktu saya banyak terbuang hanya untuk mencoba masuk aplikasi. Coba diperbaiki.
hacahyani,1,2025-03-05 03:29:30,Login minta kode OTP yg berlaku cuma 2 jam. Baru dikirimnya 5 jam kemudian. Kocak lu.
Kevin Aldava,1,2025-03-05 03:10:05,"koe nyuruh bayar pajak tapi bikin apk pajak aja ga becus anjir,, login aja susah betul"
Fayde Real,1,2025-03-05 00:06:52,Aplikasi lemot
AKA ROMERO,3,2025-03-04 17:22:24,Pengitiman OTP lama. Sampai batas waktu kode habis. Bisa berjam-jam
Bakpao Daging,1,2025-03-04 16:33:53,aplikasi bodat! apa sama biayanya dgn aplikasi coretax juga?! gk ada beresnya..berulang kali minta tolen masuk ke email lama sekali. itupun sesudah email dapat tokenmya INVALID! uji kesabaran kali memang mencoba apps djp ini. webnya juga sama parahnya! minta tolen menunggu email lamaaaaa.
Puswita C.,1,2025-03-04 14:23:18,"Lupa efin, terus ktnya bakal dikirim email utk kode verif. Nyatanya engga ada samsek. App nya jelek. Masa app pemerintah gini"
Nicholas Lindartono,1,2025-03-04 11:38:19,Email nya ngga masuk2
Anti pelakor,1,2025-03-04 11:02:09,"Kocak ga bisa login, error terus baru update padahal."
Bagus Malik,1,2025-03-04 09:57:04,Mau log in harus masukin kode verivikasi. Kode verifikasi malah baru dikirim besoknya. Jadinya gak bisa log in terus. Aplikasi macam apa ini..
Akbar R,1,2025-03-04 05:25:44,Salah satu dari beberapa aplikasi yang bikin malu indonesia
Juhn Liem,1,2025-03-04 04:00:28,"Aplikasi yang lama notifnya sudah usang, install aplikasi yang baru, buset verifikasi katanya sudah dikirim ke email, setelah saya cek email, gak ada email dari djp alamakk"
Gerdamion Setiadi,1,2025-03-04 03:45:02,"Disuruh buru² lapor pajak mepet disalahin usernya padahal servernya yg busuk banget, coretax apalagi lebih busuk diantara yang sangat busuk ( malah usernya suruh belajar coding )"
Irfan Agus Tiawan,1,2025-03-04 03:17:38,mau ngasih uang ke pemerintah aja diribetin
Gilbert Outner Gunawan,1,2025-03-04 02:54:17,"Kode verifikasi lu kirimnya lama, gua mau lapor pajak jadi susah"
Muhammad Felmi A,1,2025-03-04 02:26:39,"Aplikasi yang sangat payah, rakyat diharuskan bayar pajak tetapi mau lapor pajak aja dipersulit dengan aplikasi yang belum siap pakai. Kalo emang belum siap, gausah dulu pake aplikasi aplikasi lah, pelajari dulu cara buat aplikasi yang benar, pelajari cara upscale server dengan baik. Kalo kek gini yg susah kan kita juga. Hadeh payah memang aplikasi buatan pemerintah, bukan nya memudahkan malah menyulitkan."
Sofyan Sauri,1,2025-03-04 02:20:34,Tidak berguna
sablon kaos klaten,2,2025-03-04 00:37:39,"Kode verifikasi sangat lama..giliran dpt kode refresh page ulang dari awal..kode verifikasi minta baru, lama juga.serius ga ini applikasinya?????"
Jaka Satria,1,2025-03-03 21:54:48,"Aneh, kalau dari web cortax djp bisa login tapo di aplikasi ditolak terus, padahal user dan password sudah benar. Anehnya juga no NPWP/NIK yanh diinput hanya sebatas 15 digit 🥴"
Chandra Gunawan,1,2025-03-03 15:29:55,useless app
himalaya himalaya,1,2025-03-03 15:14:14,tdk bisa dpake
Sandy Buana,1,2025-03-03 11:59:28,"Normalnya aplikasi diciptakan untuk mempermudah, tapi ini malah sebaliknya"
G LV,1,2025-03-03 10:05:20,"Masuk djb, m pajak Semakin susah mengirim kode verifikasi sampai berjam jam, smpai exspired."
Vincent DJH,1,2025-03-03 09:52:30,"Gak bisa dipakai, semua lemot, OTP gak bisa, error semua gak jelas"
Takaful Akbar,1,2025-03-03 05:53:21,"Tipikal, kode verivikasi ga di kirim-kirim"
Kevin Ocnald Ridwan,1,2025-03-03 04:04:01,Kode Verifikasi ga sampai sampai
We yers,1,2025-03-02 03:22:09,"Entah apa gunanya aplikasi ini dibuat, engga bisa dipakai juga"
CaptainPure,1,2025-03-01 21:14:56,"Parah email tiba2 berubah ada ""+1"" tiap login gagal giliran berhasil menu lapor tidak tersedia"
Arif Himawan,1,2025-03-01 05:09:04,"Kode verifikasinya lama banget. Sekali keluar, dimasukkan salah. Padahal sudah kroscek kode bawahnya sama."
nizar novandra,1,2025-03-01 04:22:54,"Meminta verifikasi lewat email batas waktu 2jam, sedangkan aplikasi kirim kode lebih dari 2jam. Tol!!"
Alfian Aldi,1,2025-03-01 02:45:33,"Verifikasi email udah nunggu 7 jam lebih, pas muncul malah GAGAL MULUUU"
Sandy Fernandy,1,2025-02-28 04:16:21,Semua situs pemerintahan sulit diakses untuk warganya sendiri. Tapi mudah dibobol orang luar.. Pelayanan gak jelas
Kaleb Nugraha Riva,1,2025-02-28 01:47:32,Tidak bisa masuk: OTP yang dikirimkan selalu terlambat. Harus menunggu 2 jam untuk menerima OTP.
Arteta,1,2025-02-28 01:19:56,"Easy? Expert banget bahkan untuk login saja notif email tertunda sangat lama, waktu habis ganti kode lagi, lama lagi, berulang kali,"
Azul Design,1,2025-02-28 01:04:24,"jelek. aplikasi dan web jelek. sulit log in. verifikasi gagal terus. padahal kode udah bener. 2 hari nyoba log in ga bisa2. tolong diperbaiki. org males lapor dan bayar pajak, jngan ditambah aplikasi sama webnya jelek. makin males lapor dan bayar pajak!"
Endyana Mahendra,1,2025-02-27 23:16:22,Gabisa login padahal akun udah activated. Nunggu kode verifikasi ke email dan sms berjam2 ga masuk. Pas masuk udah expired. Niat bikin sistem online ga sih?
Heri Sasmita,1,2025-02-27 15:15:57,mmg tak berguna bodoh betul aplikasi ini. buat frustasi aja
Aisha Astriecia,1,2025-02-27 13:35:07,"Tampilan emang bagus..cm aplikasinya lemot, verivikasi email lamanya di luar nalar"
SaefulMalik,1,2025-02-27 13:01:19,"Verifikasi nya kaga dikirim2, orang mau bayar pajak aja dipersulit, giliran udah bayar eh di koru..."
Azola Hikman,1,2025-02-27 09:21:17,"Email verifikasi lama, minta sekarang dikirim 3 jam kemudian, aktifnya padahal cuma 2 jam, makanya pajak dipake buat kelancaran sistem ini, bukan dikorupsi"
Kadek Wahyu,1,2025-02-27 07:09:21,Saat pendaftaran kode OTP nya tidak masuk sama sekali
Ajie Prasetio,1,2025-02-27 05:25:35,aplikasi jelek login aja ga bisa
Rendi Christianto,1,2025-02-27 03:51:58,"OTP so late that when it is received, the code is expired. Hillarious"
Valencia Stephania (Valencia_SH),1,2025-02-27 02:07:56,"Mau login menunggu OTP untuk verifikasi, baru masuk keesokan harinya. Lalu pas mau login lagi, diminta OTP baru, masuk besok lagi.. dst (looping). Intinya gak pernah berhasil Login. Tolong diperbaikilah, kl alasan lg susah akses jutaan orang login bla bla bla, ya pikirkan dong caranya untuk bisa mengatasi ini, kendala tiap tahun lho.. jangan salahkan jaringan jg, internet kenceng."
Ade R Laksamana,1,2025-02-26 12:52:29,Mau verifikasi efin udah ngisi fomulir dll ga dapet otp lewat email. Gimana cerita
risyaf mulyana,1,2025-02-26 10:14:21,OTP OTP AMPAS
Yeris Aryatna,1,2025-02-26 05:40:02,Aplikasi yang lama bisa lapor SPT.. skrg kok ga ada lagi yaa
Dan W.,1,2025-02-25 09:42:04,"Typical Indonesian Government's app. Poor UI, poor usability, all the development money is wasted."
RCKWN,1,2025-02-25 07:25:34,Otp bermasalah
Alice Octav,1,2025-02-25 06:49:43,Very useless app
Tony Anggadha,1,2025-02-25 04:24:06,"kode verifikasi terlambat 30 menit lebih, sehingga saat akan login ulang kode verifikasi sudah tidak berlalu. Ayolah, lebih real time. Kami yang bayar, kami yang lapor, kami yang ribet, kami terlambat, kami kena denda. Situ terlambat, mau kena sikat?"
dizzy txt,1,2025-02-25 04:13:56,App sampah
Random Wildlife,1,2025-02-25 03:01:29,"sampaahh, kebanyakan verifikasi, mana email verifikasinya masuknya lama bgt, keburu abis limit waktunya, ampas bgt,"
dhenny _M,1,2025-02-25 02:40:30,"Kode verifikasi LUAAMAAAAAAA ga muncul2 di email, cek spam, sampah, kotakmasuk, gk ada smua. Dulu log in tgl log in, ga pake verifikasi2 sgl ttek bengek. Ini gimana ini, menyusahkan skali"
maman knight,1,2025-02-25 02:01:47,Lemottttttttttt
Eko Whianto,1,2025-02-24 11:50:22,Alwais error 404
Yoppy Taufik Rachmansyah,5,2025-02-24 11:12:35,"Kode verifikasi dikirim sangat lama, ketika masuk kode nya ke email tidak bisa login karena kode verifikasi sudah hangus"
Safira Aulia Rahma,1,2025-02-24 10:01:59,"Apliasi jelek bgt, nunggu otp aja bertahun tahun, mau bayar pajak dipersulit, giliran gak bayar pajak dipersulit"
Aziz Hasan Nurrahman Alqowi,1,2025-02-24 07:04:29,OTP to login is too hard to get
Muh. Rahmat Kadir,1,2025-02-24 06:46:27,"Minta kode verifikasi lewat email, tapi email nya ga masuk2, di website juga sama, perbaikin min, gini amat mau lapor pajak"
Yahan Febriyanto,1,2025-02-24 04:21:03,OTP too slow
Zamzam Zamroni A,1,2025-02-24 04:02:29,"Kenapa setiap mau login, kode verifikasi lewat email nya lama banget. Trus setelah masuk, kita mau masukin nomer verifikasi nya, Eh malah ngerestart aplikasi nya. Padahal cuman selisih 5 menitan, harusnya standby lah. Malah disuruh login lagi. Ya jd gabisa dong nomer verifikasi itu dimasukin. Krn pas nge restart, dia otomatis ngirim nomer verifikasi ke 2 yang beda lagi. Terus aja begitu sampe 4x. Tolong benerin aplikasi nya dong. Orang mau bayar pajak aja dipersulit. Pantes rating nya blegedes."
Muh Aziz,1,2025-02-19 08:22:23,"Aplikasi aneh, email gua belakangnya ""ro"" kok ini aplikasi kirim kode ke email yang belakangnya ""L"". Gw cari2 di email terbaru/spam ngga ada padahal gw login via pc bisa."
Mr. Stark,5,2025-02-19 05:34:53,"Saya kira susah request EFIN seperti aplikasi lainnya, ternyata mudah. Good job 👍"
Trump,1,2025-02-19 03:42:37,cek lagi UI/UX di efin kaga bisa di scroll. pada kerja gabut semua ini orang2
Elbas Ep,1,2025-02-19 00:36:18,"apps ini tidak berguna sih, endingnya tetep ke kantor pajak. ui nya sih oke, tp ux nya kureng. belum lagi login nya susah. hapus aja kali dari playstore."
Pendy Prasetyo,1,2025-02-18 09:09:24,"Just a rubish app from dirjen pajak, useless for anything related to tax. Wasted of citizen money."
Sulthan Athallah,1,2025-02-17 10:12:50,anggaran besar aplikasi tidak sesuai
Arfendo Thomas,1,2025-02-15 02:46:52,This app is Bugging
Fajar Nataprawira,2,2025-02-14 03:40:50,Di tunggu coretax korupsi nya
Muhammad Hidayat,1,2025-02-13 08:46:55,Gak bisa buat EFIN pakai NIK karena hanya bisa input 15 digit saja. Di web pun gak bisa login karena hal itu. Aneh
Iqbal Aldino,1,2025-02-12 09:14:29,Busuk
DON GAMES,1,2025-02-12 03:13:19,Aplikasi buatan anak bangsa 🤮
Herry,1,2025-02-07 06:08:09,"Error terus, gak berguna. Email terdaftar email pribadi gmail petugas pajaknya. 👎🏻"
Mahmuda ID,1,2025-02-06 02:00:48,"Kalau ada yang LEBIH RUMIT kenapa harus pilih yang GAMPANG..??? inilah Indonesia-Ku negeri yang beragam macam keunikan, kekayaan dan terutama KERUMITAN..!!"
