userName,score,at,content
Irham Ulya,1,2024-03-26 06:27:18,fitur efin banyak errornya app blm siap udh di launch
Jandi Umboh,1,2024-03-26 05:06:17,Fitur lupa efin tidak berfungsi. Tidak bisa mengirimkan kode efin ke alamat email.
Ari Putra,1,2024-03-26 04:00:40,"Fc terus, app pemerintah selalu jelek, biaya buat aja yang mahal, buang buang duit negara!"
Stefen Laks,1,2024-03-26 03:05:48,Baru instal mau bayar pajak sdh eror
Krisna Iriana,1,2024-03-25 05:53:07,"Aplikasi kocak server kocak, masak cuma request otp no telpon aja ga di kirim kirim, pulsa ada nomor aktif. 😡😠😤"
Vincent Tan,1,2024-03-25 05:10:46,aplikasi eror
Afif Syifaurrohman,1,2024-03-24 14:08:38,sekelas pemerintah indonesia aja gabisa bikin aplikasi gampang kek gini.. keliatan banget kalo dana buat bikin aplikasi ini di korupsi 🗿🗿
Oro Chimaru,1,2024-03-24 07:02:20,"Sampah, padahal ga pernah ganti password dibilang password salah, mau ajukan efin malah katanya error validate nik 3, maksudnya apa coba? Semua data udah bener"
Andra Imam Putra,1,2024-03-24 00:22:34,"Selalu critical error saat lagi pengajuan lupa EFIN, udah ngetik semua data nya dan selalu error. Gimana orang mau bayar pajak kalau aplikasi nya menyulitkan seperti ini, ga semua orang sempet ngurus ke kantor pajak secara langsung karena satu dan lain hal, tolong lah yang bener ngelola aplikasi nya. Trims"
Aidil Fudhail Mumtaz,1,2024-03-22 13:31:12,Login aja susah
Rudi Ramdani,1,2024-03-22 06:44:24,Aplikasi buatan anak sd
Ahmad S,1,2024-03-22 06:21:23,"Aplikasi bodo, masa baru install udah minta update udah gitu ngeheng lagi"
Rizki Nugraha,1,2024-03-22 02:13:11,"Berurusan sama instansi pemerintah mah emang ribet, aplikasi jg sama ribetnya, kapan mau maju wkwkwkwk"
Agatha Eka Wijaya,1,2024-03-21 15:50:52,Coba pak/bu opsi adobenya diganti yang lain. Memangnya semua orang mampu untuk bayar adobe yg berbayar(?)
Adi Wikrama,1,2024-03-21 12:50:29,Eror server dan live chat eror jg
Alex Setiawan,1,2024-03-21 12:29:17,"Aplikasi pajak kok begini, ga bisa di klik apa2 cm beri info pribadi dan kantor terdekat. Tadinya sy berharap aplikasi lbh baik drpd website ternyata sama saja. Tidak berfungsi sbg mestinya."
Lovelove Intheair,1,2024-03-21 09:39:34,Bapuk
Yunita,1,2024-03-21 04:27:04,trash app
muhammad rifaldhi,1,2024-03-21 03:53:09,Ga jelas out trus
Gathot Gathot,1,2024-03-21 02:17:06,So much trouble
fajar fitriadi,1,2024-03-20 06:56:01,Aplikasi kebanyakan erroooooorrrr bossss..
Dimas Seto Laksono,1,2024-03-20 05:04:27,aplikasi ngeleg dasar pada dikorupsi anjingg ngelegg kagak bisa ngisi
Rama Adhiwangsa,1,2024-03-20 05:04:25,Terlalu sering error
Akura Ega Shiro,1,2024-03-20 02:58:42,Halo. Kenapa aplikasinya ngcrash terus?? Bagaimana caranya aku mo bikin/cari EFIN-ku kalau appnya ngcrash terus?? Plis tolong fix secepat mngkn
Handoko Saputra,1,2024-03-20 02:27:11,Bug dan ga bs dibuka sama sekali
Baiq Hotnida (Nida Baiq),5,2024-03-19 05:03:12,Good
tirta bastoni,5,2024-03-18 06:11:25,help me to get my efin no.
Young- Q,1,2024-03-17 06:05:10,"Gak guna, gak bisa buat lapor spt, tetap ruwet seperti biasanya"
Mei Rizal,5,2024-03-16 15:27:04,"terima kasih, saya berhasil mendapatkan Efin saya kembali dengan mudah dan cepat..."
Yohanes Bagas,1,2024-03-16 12:34:35,jangan dikorup ya cari uang susah
Monang Pasaribu,1,2024-03-14 12:56:35,Bad apk
Novin Setiawan,1,2024-03-14 12:04:45,Rubbish
Nathaniel Fuad,5,2024-03-14 03:50:41,"aplikasi sangat bagus dan berguna buat lupa EFIF. Good job, terus kembangkan aplikasinya 👍👍"
Pio biru,1,2024-03-14 03:24:13,Tidak bisa login setelah update versi terbaru
Tamado Sitohang,1,2024-03-13 03:30:15,"Tidak bisa login, minta update mulu padahal tidak ada update di Play Store"
Try Ajitiono,1,2024-03-09 01:39:47,"Wanted to reset password by requesting eFIN first, filled already the long form, then the app says error 413 upon submission. If you want to take our tax, at least have the decency to build a good software, so at least tax filing won't be as painful as it is now. Thanks. What is the difficulty on just using NIK and email to verify if the NIK matches the registered email? Then set up rate limit so it can't be abused. Sometimes I am confused with how our government does problem solving."
Pranadipta Kurniawan,4,2024-03-09 00:02:16,Kenapa tidak sekalian dimasukkan fitur pelaporan spt tahunan
HENDRA HERMAWAN,5,2024-03-07 12:55:51,Good
Adi Wicaksono,5,2024-03-07 03:11:23,lanjutkan
Cha Hida,2,2024-03-06 18:15:50,The application needs to be improved! Banyak bugs dan banner di halaman depan hanya pajangan (tidak bisa dibuka informasinya). Untuk fitur ChatPajak pun selalu terputus.
Ahmad Daffa,1,2024-03-06 15:04:01,"gabisa masuk muter doang, padahal koneksi aman"
Asty diah,1,2024-03-06 09:08:28,Wah ra masok apk ne zonk!
Helen Li,2,2024-03-06 02:40:06,Setelah di update malah ga bs dibuka.
Windu Oethman,1,2024-03-05 08:58:02,Knp jd ga bs lapor spt setelah update?
Atim Taufiq,5,2024-03-04 12:55:27,Ok
Mohammad Ravli Afora,1,2024-03-04 04:41:49,"Blank, tidak load apa apa. Menunggu sudah sampai 20 menit. Perlu ditingkatkan lagi kualitas aplikasi dan kualitas pekerja app developer nya"
Mamank Geni,1,2024-02-29 08:24:52,GAJELAS. GUE MAU MASUK CHAT AJA GA BISA BISA
Fakhrozi ivano yahya,1,2024-02-29 07:46:31,Selalu gagal saat registrasi efin. Jelek banget kualitas aplikasi nya
Technical CJ,1,2024-02-28 15:59:39,Ga bisa isi SPT disini mesti ke webaite djp.Online.pajak.go.id juga. apa guna nya Lu org bikin aplikasi M Pajak?
Redhi Kurniawan,1,2024-02-28 12:07:58,Bad
aqsa aulia,1,2024-02-28 10:13:41,Lelet..ga guna...pas masuk server error...emamg uang pajak kemana??? Buat beli rubicon (yang ga bayar pajak) sisanya buat dikorupsi
budi hermanto,1,2024-02-27 01:59:43,"Permohonan ulang Efin tidak bisa di lakukan ERR VALIDATE NIK 02,"
M. Zakiy Lathif Abrori,1,2024-02-26 04:39:56,Aplikasi gak jelas. Hapus aja dari playstore.
Tijaku Tense,1,2024-02-20 23:41:24,Ribet. Ruwet. Susah dimengerti. Bikin emosi
Gustri Handoyo,1,2024-02-18 09:28:16,Dibenerin lagi ya...
Muhammad Febrian Adi Saputra,1,2024-02-18 03:20:57,"Registrasi EFIN tidak bisa, sudah ikut prosedur sampai dapat OTP, pas masukin kode lalu klik muncul notif sekilas dan tidak ada kelanjutannya,"
Catur olprima nanda,1,2024-02-17 07:39:55,"Ribet banget mau log in, udah ganti password masih juga ribet"
Ahmad Mubarak,1,2024-02-15 05:58:54,ya ampun login aja gabisa udah register dan aktivasi eh npwp sama nik malah salah gajelas
andrian chandra,1,2024-02-15 03:18:17,Gak bisa masuk aplikasi selalu error
salim mi'raj,5,2024-02-12 00:33:52,Good app
Urip Hidayat (iip),1,2024-02-10 18:48:29,Verifikasi wajah crash terus aplikasinya. Programmer nya payah.
Angel,1,2024-02-07 06:56:30,Error mulu. Mau gak mau harus ke KPP dong. Percuma donlot aplikasinya.
Afilla Pratama,1,2024-02-02 08:18:49,Aplikasi sampah
Johanes Cornelis Malonda,1,2024-02-01 07:53:28,Minta kirim email verifikasi ga di kirim2 ini yg buat aplikasi amatir ya ? Pilih tenaga buat apk yang profesional dong jangan cuman biar anggaran abis aja
deden mardiansyah,3,2024-02-01 06:00:54,"lupa efin ga bisa"" . eror mulu gagal kirim data katanya"
Muhamad Kholis,4,2024-01-30 09:43:07,"⭐⭐⭐⭐ dulu, Sampai saat ini (30/01/2024) belum bisa untuk login dengan NIK"
Mama Rambo,1,2024-01-30 01:12:04,Woi benerin lah pas masukin nik kurang 1 angka ini gmn sih
Agung Pratama Putra,4,2024-01-29 08:26:45,Tidak menerima kode verifikasi setelah login. Semua email sudah dicek termasuk di bagian spam
wayan gunawan,1,2024-01-29 05:32:44,"1. Tidak bisa login menggunakan NIK. 2. Kode Verifikasi via email 2jam baru sampai. 3. Jika sudah dimasukkan kode verifikasi yg di terima, selalu muncul kesalahan kode tidak benar/salah. 4. Tidak bisa klik luoa paswoord"
Yodi Priantama,1,2024-01-27 07:05:43,"Udah pemutakhiran NIK tapi blom update biar bisa pake NIK buat login, maksimum karakternya kurang 1. Kocak."
Wanda Murpriono Widiantoro,1,2024-01-25 10:37:58,Mau lihat ulang EFIN tapi begitu sampai tahap selfie malah aplikasinya keluar terus. Aplikasi payah.
ricky nugraha,1,2024-01-25 03:25:03,Web gak bermut sudah reset password masih tetap salah
ardo doardo,1,2024-01-24 05:40:09,Kok error terus. Tiba2 keinget ini aplikasi buatan pemerintah yang suka korupsi.
Afrinal Sumbaymider,1,2024-01-22 02:32:47,Aplikasi sampah. Masa ga bisa login? Uang pajak hasilnya begini doang nih?
Naufan Rusyda Faikar,1,2024-01-22 00:52:04,"Katanya ERR_VALIDATE_NIK, padahal NIK saya terdaftar di cekdptonline"
Abdul Arief Bogie,1,2024-01-18 05:24:44,Login aja ga bisa. Di web bisa. Tipikal aplikasi pemerintah
sun ong,1,2024-01-18 02:54:04,Sering error
Chaeru Ginanjar,1,2024-01-15 08:27:18,Daftar Ereg udah msuk tahap aktifasi ko akun terblokir??? Ga jelas bnget dih
Muhammad Fauzi,2,2024-01-12 09:40:15,"NIK kan 16 digits, sedangkan cuma bisa input 15 digits. Ini aplikasi ada QA nya ga sih sebelum rilis??"
Teddy Ardiansyah,1,2024-01-06 10:53:21,App restart terus waktu dibuka.
Wong Jowo,2,2024-01-05 04:15:47,Kalo ga bisa maintain aplikasi yaudah manual aja ga usah aneh2
Lita Lukita,1,2024-01-04 01:14:46,Mau ngurus efin tp gk bisa. vertifikasi data gagal terus padahal sudah benar dan dikoreksi berulang-ulang.
iqbal pratama,1,2024-01-01 06:10:42,"Tipikal aplikasi pemerintahan, banyak bug. Anggaran besar padahal"
Jeremi Siregar,1,2024-01-01 04:24:21,"Ampas bgt aplikasinya. Error mulu. Korupsi doang yg jago. Sampah semua didalamnya, jadi digital kagak diurus."
share gideon panduwinata,3,2023-12-31 14:00:25,NIK atau NPWP tapi cuma bisa ngisi 15 digit doang... 🥲
Jedediah Fanuel,3,2023-12-31 13:36:00,I think the feature is still incomplete compared to the web version
Joshua,1,2023-12-30 03:40:52,"Mohon maaf sebelumnya, nik itu kan 16 digit ya? Tapi kenapa ketika mau login dengan nik maksimum karakternya 15 digit ya? Sengaja kah atau bagaimana?"
Erik Zul Armanda,1,2023-12-29 11:00:44,"Apk cacat, jelas2 udh bener masukin data diri"
Ruben Prathama,1,2023-12-29 05:24:58,verifikasi data gagal terus. bagaimana mau sync NIK dan NPWP kalo ga bisa verifikasi.
Mufti Ali,1,2023-12-28 20:14:55,"App Pemda setingkat Kota masih jauh lebih bagus dari App ini. Untuk Login pakai NIK, jumlah karakter yang bisa diketik tidak cukup."
Kurniawan Fahmi,4,2023-12-25 00:03:13,"Baru akses apps ini di bulan Des 2023, menggunakan NPWP. Data profile sudah sesuai dengan yang ada di Web. Tapi belum explore seluruh data di apps. Sepertinya semua sesuai. Pertanyaan untuk admin, saat login dengan mengisi kolom npwp, sepertinya dibatasi untuk 15 karakter aja ya. Jadi gak bisa isi 16 karakter untuk NIK. Padahal di judul nya dah tertulis NPWP / NIK."
Fiestyo Imanta,1,2023-12-22 03:08:41,"Penginputan mudah, tapi selalu gagal saat verifikasi."
Rizal Hermawan,2,2023-12-21 11:49:01,Masih kurang 1 angka di belakang. Jadi NIK belum bisa pakai m-pajak
Dony Garut,5,2023-12-19 10:52:14,"Aplikasi M-Pajak (DJP) semakin baik dan cukup mudah untuk penggunaannya. Ada satu hal yang perlu diperbaiki, setelah saya lakukan pemadanan antara NIK KTP dengan Nomor NPWP, serta telah divalidasi sukses, akan tetapi sewaktu saya coba login dengan meng-input (NIK KTP) di aplikasi ini, ternyata tidak cukup untuk 16 digit angka NIK KTP, dan hanya cukup 15 digit angka nomor NPWP saja."
Randy Kauwo,1,2023-12-19 03:21:38,Benerin dulu bugnya
Samuel Tagali,2,2023-12-19 03:17:38,KPP isinya baby boomer belajar laptop semua.. Appsnya error melulu.. Gimana nih? Haha
Rijal Tanjung,1,2023-12-18 11:57:35,Can't open apps after updating to the latest version
Erick Cristian Bo,1,2023-12-18 08:14:50,Aplikasi broken
Fauzan Hadisyahputra,1,2023-12-18 05:09:05,"Suruh masukin NIK, tapi cuma bisa 10 angka. Ayolah."
Adelia B,1,2023-12-18 04:45:40,Tidak bisa login. Network error terus
